Connected as 123713644@pacific coastservices.net
Connected to... Therapy AI Agents Dev
Name                                       Copilot ID                           Component State Is Managed Solution ID                          Status Code State Code
TheraDoc                                   855c7dda-ad19-4734-a8cd-df366c48f3d2 Published       True       9026db69-d531-449a-9f82-e0529075a52d Active      Provisioned
Prior_Auth_Validator                       ddae8151-f321-4827-9f64-de7fafab5162 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Coaching_Agent                             bd3a84bd-e89d-471e-bf98-cf5b9623873f Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Prior_Auth_Validator_03311601       791e71ce-1a74-41c2-b271-b41d0ca4b3a6 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
PT_Specialist                              4ac7d9ec-8855-4820-a949-9736ebdc48ec Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SimpleLTC QM Coach V2                      ea52ad9c-8233-f111-88b3-6045bd09a824 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Pacific Coast Case Historian               946aefde-cb3a-f111-88b3-6045bd05af7a Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Trend_Analyzer_03311601             b7264f0b-9ede-49e0-bfee-4aa027b5f43d Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Regulatory_Validator_20260331160134 7b936e15-9b0d-443f-bb7a-3563914b27b0 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SNF Command Center Agent                   8c9b244f-073a-f111-88b3-000d3a5b95c6 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Documentation_Processor                    77959321-f56b-4c0c-8e72-f4fae8f84e94 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
PCCA Clean 04082333                        eb206cf2-09a6-4acd-b9a3-e16c162ccc26 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Compliance_Auditor                         620c39e2-afed-40b2-b050-d74fb911afb8 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Consensus_Engine                           8b1f4c7c-e6d1-404f-87b7-cdf1413fea41 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Escalation_Router                          b1f79e9d-b29b-4909-b96e-9beaf39b9608 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Escalation_Router_03311601          e026ea9a-1fcd-4d1d-8a70-7227e54b3350 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SimpleLTC QM & Clinical Coaching Copilot   9090f611-7b0b-f111-8406-6045bd07b5e6 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Interdisciplinary_Coordin_03311601  1ffa9b2f-3768-4e46-a31c-4af647e7fbc4 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Pacific Coast Compliance Analyzer          a8587701-574c-4a4d-aebc-35affde182c2 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SNF AI Dashboard                           b5d87f73-c34f-4eca-9405-29f8f7e62d71 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Risk_Assessment_Agent                      51d2c6ec-62a0-42d2-9e54-f7dd7cb26c5d Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SLP_Specialist                             4a2a665a-e302-482e-84aa-d7b71113f0eb Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
POSTette_Compliance_Agent                  5b80daa9-8f50-4fea-8380-c67107f168af Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
